"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","FSD3.2接口测试","创建桌面组","1","0","0","0","0"
"","FSD3.2接口测试","获取安全组信息列表（有修改）","0","0","1","0","0"
"","FSD3.2接口测试","查询镜像列表","0","0","1","0","0"
"","FSD3.2接口测试","查询网络列表","0","0","1","0","0"
"","FSD3.2接口测试","修改桌面组","1","0","0","0","0"
"","FSD3.2接口测试","获取桌面组可用资源","0","0","2","0","0"
"","FSD3.2接口测试","根据id获取桌面组","0","0","1","0","0"
"","FSD3.2接口测试","获取全部桌面组信息","0","0","1","0","0"
"","FSD3.2接口测试","获取桌面组列表","0","0","1","0","0"
"","FSD3.2接口测试","创建用户","1","0","0","0","0"
"","FSD3.2接口测试","获取系统和桌面组的剩余授权点数","0","0","1","0","0"
"","FSD3.2接口测试","获取全部用户或桌面组中的用户","0","0","1","0","0"
"","FSD3.2接口测试","创建云桌面","1","0","0","0","0"
"","FSD3.2接口测试","根据用户角色返回系统或桌面组的剩余授权点数","0","0","1","0","0"
